rating,series_id,index_bank
11.0,501,"ПАО ""МТС-Банк"""
11.0,502,"ПАО ""МТС-Банк"""
11.0,503,"ПАО ""МТС-Банк"""
11.0,504,"ПАО ""МТС-Банк"""
11.0,505,"ПАО ""МТС-Банк"""
11.0,506,"ПАО ""МТС-Банк"""
11.0,507,"ПАО ""МТС-Банк"""
11.0,508,"ПАО ""МТС-Банк"""
11.0,509,"ПАО ""МТС-Банк"""
11.0,510,"ПАО ""МТС-Банк"""
11.0,511,"ПАО ""МТС-Банк"""
11.0,512,"ПАО ""МТС-Банк"""
11.0,513,"ПАО ""МТС-Банк"""
11.0,514,"ПАО ""МТС-Банк"""
13.0,515,"ПАО ""Промсвязьбанк"""
13.0,516,"ПАО ""Промсвязьбанк"""
13.0,517,"ПАО ""Промсвязьбанк"""
13.0,518,"ПАО ""Промсвязьбанк"""
13.0,519,"ПАО ""Промсвязьбанк"""
13.0,520,"ПАО ""Промсвязьбанк"""
13.0,521,"ПАО ""Промсвязьбанк"""
13.0,522,"ПАО ""Промсвязьбанк"""
13.0,523,"ПАО ""Промсвязьбанк"""
13.0,524,"ПАО ""Промсвязьбанк"""
13.0,525,"ПАО ""Промсвязьбанк"""
13.0,526,"ПАО ""Промсвязьбанк"""
13.0,527,"ПАО ""Промсвязьбанк"""
13.0,528,"ПАО ""Промсвязьбанк"""
13.0,529,"ПАО ""Совкомбанк"""
13.0,530,"ПАО ""Совкомбанк"""
13.0,531,"ПАО ""Совкомбанк"""
13.0,532,"ПАО ""Совкомбанк"""
13.0,533,"ПАО ""Совкомбанк"""
13.0,534,"ПАО ""Совкомбанк"""
13.0,535,"ПАО ""Совкомбанк"""
13.0,536,"ПАО ""Совкомбанк"""
13.0,537,"ПАО ""Совкомбанк"""
13.0,538,"ПАО ""Совкомбанк"""
13.0,539,"ПАО ""Совкомбанк"""
13.0,540,"ПАО ""Совкомбанк"""
13.0,541,"ПАО ""Совкомбанк"""
11.0,542,"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
